suburb,geographyCode,population,medianAge,medianHouseholdIncomeWeekly,householdsWithChildrenPct,ownerOccupiedPct,rentingPct,overseasBornPct,cantonesePct,mandarinPct,hongKongBornPct,chinaBornPct,filipinoPct,tagalogPct,thaiPct,spanishPct,portuguesePct,topBirthplacesCount,topLanguagesCount,topNonEnglishLanguagesCount,tenureDenominator,tenureComponentsSum,tenureRandomisationDifference,unpartnered2554Count,unpartnered2554Denominator,unpartnered2554Pct,loneParentFamiliesCount,loneParentFamiliesDenominator,loneParentFamiliesPct,status
Hawthorn,SAL21152,22322,34,2145,26.5,51.8,45.6,28.3,1.4,4.2,0.7,3.1,0.1,0.2,0.4,1.0,0.2,5,5,5,9706,9713,-7,4134,9878,41.9,527,5260,10.0,PASS
Hawthorn East,SAL21153,14834,36,2253,32.7,57.8,39.9,30.7,1.9,7.2,0.8,5.5,0.0,0.1,0.4,0.8,0.1,5,5,5,6251,6258,-7,2349,6507,36.1,438,3807,11.5,PASS
Heidelberg,SAL21167,7360,39,2012,35.9,55.5,41.1,28.1,1.3,2.7,0.6,2.0,0.7,0.5,0.3,0.9,0.2,5,5,5,2997,2993,4,1026,3105,33.0,253,1900,13.3,PASS
Heidelberg West,SAL21169,5252,35,1257,36.1,42.4,54.0,32.4,1.5,4.2,0.5,3.1,0.6,0.5,0.4,1.0,0.1,5,5,5,2088,2090,-2,963,2149,44.8,322,1229,26.2,PASS
Ivanhoe,SAL21246,13374,40,2232,39.7,65.1,32.6,27.0,1.3,5.5,0.5,4.3,0.1,0.1,0.2,0.9,0.3,5,5,5,5310,5313,-3,1708,5276,32.4,460,3608,12.7,PASS
Keilor,SAL21314,5906,46,2046,49.7,84.2,9.1,21.8,0.8,0.6,0.2,0.5,0.1,0.2,0.1,0.7,0.1,5,5,5,2133,2133,0,558,1914,29.2,228,1706,13.4,PASS
Keilor Downs,SAL21315,9857,43,1558,51.0,79.2,18.1,41.3,1.5,1.2,0.2,0.9,0.4,0.6,0.1,1.5,0.2,5,5,5,3386,3388,-2,1386,3318,41.8,527,2841,18.5,PASS
Keilor East,SAL21316,15078,43,1911,50.0,78.5,18.8,29.0,1.5,1.5,0.3,1.2,0.3,0.3,0.2,1.2,0.2,5,5,5,5447,5448,-1,1657,5453,30.4,680,4320,15.7,PASS
Kensington,SAL21327,10745,35,2216,27.6,48.7,49.1,31.1,3.2,3.3,0.6,2.8,0.1,0.2,0.4,1.6,0.3,5,5,5,4727,4728,-1,2195,5602,39.2,358,2683,13.3,PASS
Kew,SAL21336,24499,41,2497,41.8,68.5,28.6,30.6,2.8,8.6,1.3,6.6,0.1,0.1,0.2,0.7,0.1,5,5,5,9069,9070,-1,2927,8757,33.4,863,6327,13.6,PASS
Keysborough,SAL21339,30018,36,1991,61.7,78.5,18.7,54.1,3.8,6.8,0.4,5.1,0.5,0.7,0.3,0.8,0.1,5,5,5,9102,9111,-9,3960,12376,32.0,1288,8230,15.7,PASS
Maidstone,SAL21575,9389,34,1916,40.0,54.4,43.1,45.0,3.8,3.3,0.6,2.5,0.5,1.3,0.3,2.6,0.5,5,5,5,3516,3522,-6,1913,4592,41.7,435,2359,18.4,PASS
Malvern,SAL21586,9929,44,2606,36.3,70.2,26.7,23.9,1.1,3.2,0.7,2.2,0.2,0.2,0.1,0.6,0.1,5,5,5,4007,3998,9,1117,3497,31.9,306,2617,11.7,PASS
Maribyrnong,SAL21604,12573,36,2020,36.8,59.7,37.7,43.6,5.0,4.8,0.8,3.6,0.4,0.7,0.3,2.6,0.5,5,5,5,5070,5070,0,2398,6123,39.2,454,3364,13.5,PASS
McKinnon,SAL21629,6878,40,2410,58.0,65.6,32.6,39.0,1.7,12.0,0.7,9.2,0.2,0.1,0.1,0.8,0.3,5,5,5,2337,2329,8,630,2661,23.7,304,1894,16.1,PASS
