areaId,category,zonedSchool,schoolNo,boundaryDistanceM,anchorSource
elwood-2br,secondary,Elwood College,,841.8,station
epping-house,primary,Epping Primary School,,25.5,station
epping-house,secondary,Epping Secondary College,,28.1,station
essendon-2br,primary,Essendon Primary School,,525.8,station
essendon-2br,secondary,Buckley Park College,,143.2,station
essendon-west-house,primary,Aberfeldie Primary School,,704.2,station
essendon-west-house,secondary,Rosehill Secondary College,,685.1,station
established-western-value,primary,St Albans Primary School,,168.0,station
established-western-value,secondary,St Albans Secondary College,,1089.1,station
fairfield-house,primary,Fairfield Primary School,,372.2,station
fairfield-house,secondary,Northcote High School,,109.7,station
fawkner-house,primary,Fawkner Primary School,,25.9,station
fawkner-house,secondary,John Fawkner Secondary College,,808.7,station
fitzroy-2br,primary,Fitzroy Primary School,,309.5,locality-representative-point
fitzroy-2br,secondary,Collingwood College,,549.4,locality-representative-point
fitzroy-north-2br,primary,Fitzroy North Primary School,,283.1,locality-representative-point
fitzroy-north-2br,secondary,Fitzroy High School,,491.3,locality-representative-point
footscray-station-2br,primary,Footscray City Primary School,,59.8,station
footscray-station-2br,secondary,Footscray High School,,123.9,station
frankston-middle-ring,primary,Moorabbin Primary School,,434.9,station
frankston-middle-ring,secondary,Sandringham College,,78.1,station
gardenvale-house,primary,Elsternwick Primary School,,228.2,station
gardenvale-house,secondary,Elwood College,,306.6,station
glen-waverley-2br,primary,Glen Waverley Primary School,,570.8,station
glen-waverley-2br,secondary,Glen Waverley Secondary College,,919.8,station
greenvale-house,primary,Greenvale Primary School,,74.4,station
greenvale-house,secondary,Greenvale Secondary College,,2523.2,station
growth-corridor-stress-test,primary,Baden Powell P-9 College,,4.6,station
growth-corridor-stress-test,secondary,Baden Powell P-9 College,,3.8,station
hawthorn-2br,primary,Hawthorn West Primary School,,254.0,station
hawthorn-2br,secondary,Richmond High School,,470.3,station
hawthorn-east-2br,primary,Auburn Primary School,,294.8,station
hawthorn-east-2br,secondary,Auburn High School,,492.5,station
heidelberg-3br-townhouse,primary,Heidelberg Primary School,,610.0,station
heidelberg-3br-townhouse,secondary,Viewbank College,,136.3,station
heidelberg-west-house,primary,Charles La Trobe P-12 College,,624.7,station
heidelberg-west-house,secondary,Charles La Trobe P-12 College,,92.9,station
hoppers-crossing-house,primary,Woodville Primary School,,323.4,station
hoppers-crossing-house,secondary,Hoppers Crossing Secondary College,,511.3,station
inner-abbotsford-2br,primary,Collingwood College,,111.3,station
inner-abbotsford-2br,secondary,Collingwood College,,530.5,station
inner-collingwood-2br,primary,Collingwood College,,111.3,station
inner-collingwood-2br,secondary,Collingwood College,,530.5,station
inner-lowcar-benchmark,primary,Kensington Primary School,,480.8,station
inner-lowcar-benchmark,secondary,Mount Alexander 7-12 College,,663.2,station
inner-richmond-2br,primary,Richmond Primary School,,51.9,station
inner-richmond-2br,secondary,Richmond High School,,644.3,station
inner-se-apartment-corridor,primary,Carnegie Primary School,,522.0,station
inner-se-apartment-corridor,secondary,Glen Eira College,,1559.8,station
inner-south-yarra-2br,primary,Toorak Primary School,,23.5,station
inner-south-yarra-2br,secondary,Prahran High School,,602.2,station
inner-windsor-prahran-2br,primary,Windsor Primary School,,504.3,station
inner-windsor-prahran-2br,secondary,Prahran High School,,601.8,station
ivanhoe-house,primary,Ivanhoe Primary School,,526.8,station
ivanhoe-house,secondary,Thornbury High School,,558.9,station
keilor-downs-house,primary,Keilor Views Primary School,,257.7,station
keilor-downs-house,secondary,Keilor Downs Secondary College,,470.3,station
keilor-east-house,primary,Keilor Heights Primary School,,993.5,station
keilor-east-house,secondary,Essendon Keilor College,,1079.4,station
keilor-house,primary,Keilor Primary School,,434.1,station
keilor-house,secondary,Keilor Downs Secondary College,,1682.0,station
kew-2br,primary,Kew Primary School,,125.5,locality-representative-point
kew-2br,secondary,Kew High School,,848.2,locality-representative-point
keysborough-house,primary,Keysborough Gardens Primary School,,1063.0,station
keysborough-house,secondary,Keysborough Secondary College,,1824.2,station
maidstone-house,primary,Footscray North Primary School,,342.7,station
maidstone-house,secondary,Maribyrnong Secondary College,,602.9,station
malvern-2br,primary,Caulfield Junior College,,117.8,station
malvern-2br,secondary,Glen Eira College,,526.9,station
maribyrnong-2br,primary,Footscray North Primary School,,2.1,station
maribyrnong-2br,secondary,Maribyrnong Secondary College,,866.6,station
mckinnon-villa,primary,Ormond Primary School,,63.8,station
mckinnon-villa,secondary,McKinnon Secondary College,,405.1,station
melbourne-cbd-2br,primary,Carlton Gardens Primary School,,363.4,station
melbourne-cbd-2br,secondary,University High School,,621.6,station
mentone-2br,primary,Mentone Primary School,,831.4,station
mentone-2br,secondary,Parkdale Secondary College,,122.7,station
mernda-house,primary,Mernda Central P-12 College,,20.0,station
mernda-house,secondary,Mernda Central P-12 College,,282.1,station
middle-park-2br,primary,Middle Park Primary School,,164.6,locality-representative-point
middle-park-2br,secondary,Albert Park College,,658.4,locality-representative-point
moonee-ponds-2br,primary,Moonee Ponds West Primary School,,126.0,station
moonee-ponds-2br,secondary,Mount Alexander 7-12 College,,296.7,station
mount-waverley-villa,primary,Mount Waverley Primary School,,339.0,station
mount-waverley-villa,secondary,Mount Waverley Secondary College,,1072.1,station
newport-house,primary,Newport Lakes Primary School,,513.5,station
newport-house,secondary,Bayside P-12 College,,993.3,station
north-melbourne-2br,primary,North Melbourne Primary School,,51.6,station
north-melbourne-2br,secondary,University High School,,1085.9,station
northcote-2br,primary,Northcote Primary School,,547.3,station
northcote-2br,secondary,Northcote High School,,1140.1,station
northern-rail-value,primary,Reservoir Primary School,,546.2,station
northern-rail-value,secondary,Reservoir High School,,0.1,station
northwest-villa-corridor,primary,Pascoe Vale Primary School,,630.9,station
northwest-villa-corridor,secondary,Strathmore Secondary College,,921.8,station
parkville-2br,primary,North Melbourne Primary School,,166.2,station
parkville-2br,secondary,University High School,,1182.9,station
point-cook-house,primary,Saltwater P-9 College,,351.7,station
point-cook-house,secondary,Saltwater P-9 College,,351.7,station
port-melbourne-2br,primary,Port Melbourne Primary School,,368.8,station
port-melbourne-2br,secondary,Port Melbourne Secondary College,,274.9,station
preston-villa,primary,Preston West Primary School,,397.7,station
preston-villa,secondary,Preston High School,,948.2,station
rockbank-house,primary,Rockbank Primary School,,572.8,station
rockbank-house,secondary,Yarrabing Secondary College,,828.6,station
rosanna-house,primary,Rosanna Primary School,,95.5,station
rosanna-house,secondary,Charles La Trobe P-12 College,,79.4,station
roxburgh-park-house,primary,Roxburgh Park Primary School,,668.6,station
roxburgh-park-house,secondary,Roxburgh College,,1866.9,station
se-value-corridor,primary,Springvale Rise Primary School,,391.5,station
se-value-corridor,secondary,Westall Secondary College,,300.9,station
seddon-westfootscray-villa,primary,Footscray City Primary School,,12.0,station
seddon-westfootscray-villa,secondary,Footscray High School,,440.9,station
south-melbourne-2br,primary,South Melbourne Park Primary School,,140.2,locality-representative-point
south-melbourne-2br,secondary,Albert Park College,,518.5,locality-representative-point
spotswood-2br,primary,Spotswood Primary School,,557.9,station
spotswood-2br,secondary,Footscray High School,,55.0,station
st-kilda-2br,primary,St Kilda Park Primary School,,312.4,station
st-kilda-2br,secondary,Albert Park College,,312.4,station
st-kilda-east-2br,primary,Ripponlea Primary School,,528.3,station
st-kilda-east-2br,secondary,Elwood College,,803.1,station
st-kilda-west-2br,primary,St Kilda Park Primary School,,368.9,station
st-kilda-west-2br,secondary,Albert Park College,,368.9,station
sunbury-house,primary,Sunbury West Primary School,,160.2,station
sunbury-house,secondary,Sunbury College,,845.1,station
