id,displayName,components,observedLgas,censusPopulation2021,adjustedThreeYearPersonYears,growthMultiple,candidateSafetyScore,candidateRank,census2021SmoothedScore,census2021SmoothedRank,denominatorScoreDelta,denominatorRankDelta,adjustedRawScore,adjustedRawRank,smoothingScoreDelta,smoothingRankDelta,personCount,personRawRate,personSmoothedRate,personRiskPercentile,burglaryCount,burglaryRawRate,burglarySmoothedRate,burglaryRiskPercentile,vehicleCount,vehicleRawRate,vehicleSmoothedRate,vehicleRiskPercentile,damageCount,damageRawRate,damageSmoothedRate,damageRiskPercentile
inner-south-yarra-2br,South Yarra,South Yarra,Melbourne | Stonnington,25028,87715.6238,1.1682,1.8008,102,1.6017,102,0.1992,0,2.0339,99,-0.2331,3,1202,1370.3374,1352.2829,0.7797,748,852.7557,815.7216,0.9237,2386,2720.1539,2643.5394,0.7797,669,762.6919,749.282,0.7203
inner-richmond-2br,Richmond,Richmond,Yarra,28587,94719.1221,1.1045,1.4873,104,1.5805,103,-0.0932,1,1.7331,101,-0.2458,3,1458,1539.2879,1506.3072,0.8644,724,764.3652,738.2486,0.8814,2511,2650.9959,2586.1094,0.7458,863,911.1149,884.4283,0.8559
inner-collingwood-2br,Collingwood,Collingwood,Yarra,9179,30413.3635,1.1045,0.4576,117,0.4703,117,-0.0127,0,0.5254,116,-0.0678,1,860,2827.7043,2423.4352,0.9407,359,1180.4022,1009.7834,0.9831,1214,3991.6664,3491.7932,0.9322,556,1828.1437,1532.0813,0.9831
inner-windsor-prahran-2br,Windsor / Prahran,Windsor | Prahran,Port Phillip | Stonnington,19476,63283.5477,1.0831,0.589,114,0.5593,115,0.0297,-1,0.7712,112,-0.1822,2,1539,2431.9117,2262.9795,0.9153,776,1226.2271,1125.8836,1.0,2207,3487.4783,3280.615,0.9153,782,1235.7082,1153.2815,0.9237
inner-abbotsford-2br,Abbotsford,Abbotsford,Yarra,9088,30111.8474,1.1045,1.6907,103,1.7458,100,-0.0551,3,1.678,103,0.0127,0,469,1557.5265,1466.8776,0.8475,239,793.7075,718.2103,0.8644,769,2553.8121,2408.6426,0.6864,309,1026.1742,927.8196,0.8983
sunshine-station-2br,Sunshine,Sunshine,Brimbank,9445,28561.0923,1.008,0.822,110,0.9915,108,-0.1695,2,0.8008,111,0.0212,-1,1046,3662.3249,3022.1957,0.9831,188,658.2381,614.8359,0.7712,1429,5003.3101,4217.0773,0.9746,509,1782.1447,1483.7898,0.9746
footscray-station-2br,Footscray,Footscray,Maribyrnong,17131,56364.9697,1.0967,0.4237,119,0.3983,119,0.0254,0,0.5593,115,-0.1356,4,1571,2787.1921,2547.1144,0.9492,603,1069.8134,982.5778,0.9576,2650,4701.5017,4290.1414,0.9831,917,1626.897,1476.9321,0.9661
seddon-westfootscray-villa,Seddon / West Footscray,Seddon | West Footscray,Maribyrnong,16872,55512.7995,1.0967,6.7966,36,6.6144,36,0.1822,0,6.4958,39,0.3008,-3,359,646.6977,730.2263,0.2034,220,396.305,410.7402,0.3136,1342,2417.4605,2349.3898,0.6695,296,533.2104,548.2373,0.4831
yarraville-2br,Yarraville,Yarraville,Maribyrnong,15636,51446.0724,1.0967,7.5127,22,7.2754,28,0.2373,-6,7.0763,27,0.4364,-5,324,629.7857,721.5948,0.178,159,309.0615,338.6505,0.161,1103,2143.9926,2115.9222,0.6271,215,417.9133,452.6987,0.3475
established-western-value,St Albans,St Albans,Brimbank,38042,115036.6407,1.008,2.7881,91,3.6525,84,-0.8644,7,3.0975,89,-0.3093,2,1658,1441.2799,1421.4967,0.8305,629,546.7823,542.311,0.6441,2297,1996.7551,1994.7361,0.5085,875,760.6272,750.3125,0.7288
northwest-villa-corridor,Pascoe Vale / Glenroy,Pascoe Vale | Glenroy,Merri-bek,41963,136309.1446,1.0828,5.3644,57,5.3432,60,0.0212,-3,5.1229,61,0.2415,-4,1487,1090.9026,1097.9435,0.6356,542,397.6256,403.999,0.2881,1883,1381.4187,1421.7505,0.2373,729,534.8137,541.4327,0.4746
upfield-corridor,Brunswick / Coburg,Brunswick | Coburg,Merri-bek,51470,167190.8985,1.0828,3.8263,80,3.7627,81,0.0636,-1,3.8475,80,-0.0212,0,1834,1096.9497,1102.4221,0.6441,856,511.9896,510.7979,0.5424,3632,2172.3671,2161.0315,0.6356,1287,769.7787,761.9836,0.7458
northern-rail-value,Reservoir,Reservoir,Darebin,51096,164696.1226,1.0744,3.2458,86,3.3093,87,-0.0636,-1,3.411,85,-0.1653,1,1899,1153.0326,1155.3729,0.661,957,581.0701,575.9071,0.7288,3498,2123.9116,2115.1878,0.6186,1186,720.1141,715.0505,0.6695
inner-se-apartment-corridor,Carnegie / Oakleigh,Carnegie | Murrumbeena | Oakleigh,Glen Eira | Monash,36373,117990.3301,1.0813,5.0636,67,5.1568,66,-0.0932,1,4.7627,72,0.3008,-5,1104,935.6699,955.847,0.4915,573,485.633,486.0425,0.4915,2372,2010.3342,2007.3009,0.5254,593,502.5836,512.6681,0.4322
se-value-corridor,Springvale / Noble Park,Springvale | Noble Park | Clayton,Greater Dandenong | Monash,70825,225070.3764,1.0593,3.589,82,3.822,80,-0.2331,2,3.6398,83,-0.0508,-1,3126,1388.8989,1380.6043,0.7966,973,432.3092,434.8006,0.3559,5462,2426.7965,2407.4284,0.678,1632,725.1065,721.1311,0.6864
frankston-middle-ring,Moorabbin / Cheltenham,Moorabbin | Highett | Cheltenham,Bayside | Kingston,42255,132769.078,1.0474,5.0763,66,5.3093,61,-0.2331,5,4.8983,69,0.178,-3,1431,1077.8112,1085.9436,0.6186,533,401.4489,407.7125,0.2966,2339,1761.7054,1776.4008,0.4153,916,689.9197,685.8387,0.6356
inner-lowcar-benchmark,Kensington / Flemington,Kensington | Flemington,Melbourne | Moonee Valley,17770,61719.2101,1.1577,3.0085,88,2.7754,93,0.2331,-5,3.1017,88,-0.0932,0,866,1403.1288,1373.9578,0.7881,277,448.8068,454.6724,0.4407,1909,3093.0402,2936.6624,0.8559,599,970.5244,923.275,0.8898
ascot-vale-2br,Ascot Vale,Ascot Vale,Moonee Valley,14770,46884.2165,1.0581,3.572,83,3.8729,77,-0.3008,6,3.6102,84,-0.0381,-1,679,1448.2486,1403.5382,0.8136,179,381.7916,400.9679,0.2797,1266,2700.2691,2572.1565,0.7373,414,883.0264,838.8365,0.8305
growth-corridor-stress-test,Tarneit / Wyndham Vale,Tarneit | Wyndham Vale,Wyndham,76888,271974.6834,1.1791,6.3559,43,5.6992,53,0.6568,-10,5.8686,51,0.4873,-8,2702,993.4748,1000.5833,0.5339,948,348.5619,353.6088,0.2119,3168,1164.8143,1193.4231,0.0932,1299,477.618,483.0808,0.3983
craigieburn-townhouse,Craigieburn,Craigieburn,Hume,65178,221638.4955,1.1335,6.678,38,6.5424,40,0.1356,-2,6.3686,41,0.3093,-3,2277,1027.3486,1034.5395,0.5932,331,149.3423,164.0865,0.0,2670,1204.6644,1237.7697,0.1441,914,412.3832,421.8494,0.2797
donnybrook-house-land,Donnybrook,Donnybrook,Whittlesea,2100,7077.9924,1.1235,0.8136,111,0.8263,111,-0.0127,0,0.339,119,0.4746,-8,227,3207.1241,2028.2928,0.9068,140,1977.962,1107.1994,0.9915,268,3786.3844,2723.687,0.8136,115,1624.7545,1043.2466,0.9153
northcote-2br,Northcote,Northcote,Darebin,25110,80936.2697,1.0744,7.8263,13,7.8771,13,-0.0508,0,7.4661,21,0.3602,-8,436,538.6954,610.7483,0.0424,347,428.7324,435.566,0.3644,1511,1866.901,1878.4046,0.4576,352,434.9101,456.5456,0.3644
thornbury-2br,Thornbury,Thornbury,Darebin,18476,59553.1071,1.0744,5.6822,53,5.8814,48,-0.1992,5,5.2797,58,0.4025,-5,416,698.5362,769.7596,0.2881,293,491.9978,491.8363,0.5085,1495,2510.3644,2432.8907,0.7034,378,634.7276,634.2859,0.5932
preston-villa,Preston,Preston,Darebin,33169,106912.5898,1.0744,1.3898,105,1.5805,104,-0.1907,1,1.7288,102,-0.339,3,1608,1504.0324,1477.507,0.8559,756,707.1197,688.6234,0.8559,3447,3224.1292,3116.9877,0.8729,1145,1070.9684,1033.3922,0.9068
box-hill-2br,Box Hill,Box Hill,Whitehorse,14353,46468.7805,1.0792,1.2203,108,1.3856,106,-0.1653,2,1.3686,107,-0.1483,1,768,1652.7225,1571.4731,0.8729,413,888.7688,818.306,0.9322,1298,2793.2732,2647.7481,0.7966,423,910.2886,860.9458,0.8475
malvern-2br,Malvern,Malvern,Stonnington,9751,31566.2882,1.0791,5.0932,65,5.1907,65,-0.0975,0,5.3347,57,-0.2415,8,202,639.9232,773.2028,0.3051,221,700.114,649.7752,0.8136,643,2036.9832,2021.2319,0.5424,109,345.3051,414.1952,0.2542
toorak-2br,Toorak,Toorak,Stonnington,12772,41345.9782,1.0791,5.2458,61,5.2966,63,-0.0508,-2,5.1525,60,0.0932,1,265,640.933,748.6306,0.2373,323,781.2126,724.6671,0.8729,837,2024.3807,2014.0839,0.5339,155,374.8853,424.8932,0.2966
kew-2br,Kew,Kew,Boroondara,24082,75826.0841,1.0496,6.9831,30,7.2797,27,-0.2966,3,6.4958,38,0.4873,-8,483,636.984,701.8748,0.1525,392,516.9725,513.9317,0.5678,1113,1467.8326,1526.5185,0.3051,267,352.1216,384.6914,0.1864
balwyn-2br,Balwyn,Balwyn,Boroondara,13441,42321.1692,1.0496,6.9492,33,7.0763,33,-0.1271,0,6.9915,30,-0.0424,3,226,534.0117,660.1376,0.1017,273,645.0672,615.5968,0.7881,403,952.2421,1147.0521,0.0763,123,290.6347,355.8131,0.1271
albert-park-2br,Albert Park,Albert Park,Port Phillip,5828,19243.4551,1.1006,3.6737,81,3.5,86,0.1737,-5,3.6949,81,-0.0212,0,192,997.7418,1064.8252,0.6102,101,524.8538,513.2343,0.5593,716,3720.7456,3122.5827,0.8814,118,613.1955,619.5081,0.5508
st-kilda-2br,St Kilda,St Kilda,Port Phillip,19490,64353.9704,1.1006,0.4492,118,0.4364,118,0.0127,0,0.6102,114,-0.161,4,1900,2952.4208,2715.9164,0.9576,682,1059.7637,983.2527,0.9661,2247,3491.6261,3287.183,0.9237,1023,1589.6455,1460.8037,0.9576
balaclava-2br,Balaclava,Balaclava,Port Phillip,5392,17803.828,1.1006,2.9407,89,2.9364,89,0.0042,0,2.6992,91,0.2415,-2,269,1510.911,1396.9001,0.8051,94,527.9763,514.6321,0.5763,387,2173.6898,2100.9735,0.6017,167,938.0005,827.8197,0.8051
elwood-2br,Elwood,Elwood,Port Phillip,15153,50033.6436,1.1006,6.3051,44,6.2288,44,0.0763,0,5.9534,49,0.3517,-5,336,671.5481,758.5608,0.2712,245,489.6705,489.871,0.5,947,1892.7264,1905.8498,0.4831,181,361.7566,406.7146,0.2288
cremorne-2br,Cremorne,Cremorne,Yarra,2158,7150.2384,1.1045,2.6695,94,2.7712,94,-0.1017,0,1.9831,100,0.6864,-6,102,1426.5259,1290.8957,0.7373,48,671.3063,566.0996,0.7034,230,3216.676,2490.6421,0.7288,93,1300.6559,910.5738,0.8814
chelsea-2br,Chelsea,Chelsea,Kingston,8347,26279.977,1.0495,5.4492,56,5.5932,55,-0.1441,1,5.5297,55,-0.0805,1,330,1255.7089,1238.6769,0.6864,74,281.5832,339.271,0.178,292,1111.1121,1348.2673,0.1949,165,627.8544,628.9022,0.5847
bonbeach-2br,Bonbeach,Bonbeach,Kingston,6855,21582.5138,1.0495,6.1017,46,6.3856,43,-0.2839,3,6.8814,32,-0.7797,14,134,620.873,802.3164,0.3644,104,481.8716,484.7221,0.4831,273,1264.9129,1488.6436,0.2881,86,398.4707,472.3043,0.3898
north-melbourne-2br,North Melbourne,North Melbourne,Melbourne,14551,54888.7493,1.2574,2.1907,99,1.5508,105,0.6398,-6,2.3051,96,-0.1144,3,711,1295.3474,1279.716,0.7288,390,710.5281,676.6773,0.8475,1584,2885.8373,2744.9305,0.822,465,847.1681,813.9555,0.7797
sunbury-house,Sunbury,Sunbury,Hume,37925,128964.3736,1.1335,6.9746,32,6.6525,35,0.322,-3,6.5466,37,0.428,-5,1289,999.5008,1013.4912,0.5424,276,214.0126,233.9358,0.0254,1041,807.1997,890.9845,0.0339,591,458.2661,470.7434,0.3729
spotswood-2br,Spotswood,Spotswood,Hobsons Bay,2820,8868.4684,1.0483,3.4619,84,3.6102,85,-0.1483,-1,3.6907,82,-0.2288,2,73,823.141,1019.6466,0.5593,58,654.0024,567.547,0.7119,337,3799.9797,2830.919,0.839,74,834.4169,726.9566,0.6949
south-melbourne-2br,South Melbourne,South Melbourne,Port Phillip,11548,38130.3053,1.1006,0.5339,115,0.5339,116,0.0,-1,0.6314,113,-0.0975,2,1021,2677.6602,2369.3839,0.9322,401,1051.6569,935.1435,0.9492,1995,5232.0588,4554.617,0.9915,603,1581.4193,1384.0876,0.9407
armadale-2br,Armadale,Armadale,Stonnington,9368,30326.4269,1.0791,4.5975,74,4.6229,73,-0.0254,1,4.7034,73,-0.1059,1,205,675.9781,804.4147,0.3814,214,705.6552,652.3946,0.822,633,2087.2884,2058.5783,0.5678,120,395.6945,454.2073,0.3559
burnley-2br,Burnley,Burnley,Yarra,794,2630.8106,1.1045,2.7839,92,2.8602,90,-0.0763,2,1.2797,108,1.5042,-16,50,1900.5549,1341.0991,0.7712,17,646.1887,523.224,0.6017,132,5017.4649,2605.9377,0.7627,42,1596.4661,832.6114,0.822
hawthorn-2br,Hawthorn,Hawthorn,Boroondara,22322,70284.4386,1.0496,5.2881,59,5.7203,51,-0.4322,8,5.2119,59,0.0763,0,526,748.3876,803.8814,0.3729,385,547.7742,540.6869,0.6356,1333,1896.5791,1905.9124,0.4915,334,475.2119,494.6981,0.4068
mckinnon-villa,McKinnon,McKinnon,Glen Eira,6878,22235.4479,1.0776,7.4534,23,7.3008,25,0.1525,-2,8.0424,14,-0.589,9,136,611.636,792.2697,0.339,76,341.7966,388.0431,0.2288,187,840.9995,1191.7038,0.0847,44,197.8822,332.4464,0.0763
glen-waverley-2br,Glen Waverley,Glen Waverley,Monash,42642,139887.0766,1.0935,6.8983,34,6.589,38,0.3093,-4,5.9958,48,0.9025,-14,909,649.8098,686.111,0.1102,811,579.7533,573.8236,0.7203,1919,1371.8208,1411.8302,0.2203,467,333.8407,353.71,0.1186
balwyn-north-2br,Balwyn North,Balwyn North,Boroondara | Whitehorse,21302,68019.7139,1.0644,7.7669,15,7.8178,15,-0.0508,0,7.6864,19,0.0805,-4,295,433.6978,531.1372,0.0085,390,573.3632,562.7904,0.6949,587,862.9851,1005.0678,0.0678,116,170.5388,229.6414,0.0085
