id,displayName,components,observedLgas,censusPopulation2021,adjustedThreeYearPersonYears,growthMultiple,candidateSafetyScore,candidateRank,census2021SmoothedScore,census2021SmoothedRank,denominatorScoreDelta,denominatorRankDelta,adjustedRawScore,adjustedRawRank,smoothingScoreDelta,smoothingRankDelta,personCount,personRawRate,personSmoothedRate,personRiskPercentile,burglaryCount,burglaryRawRate,burglarySmoothedRate,burglaryRiskPercentile,vehicleCount,vehicleRawRate,vehicleSmoothedRate,vehicleRiskPercentile,damageCount,damageRawRate,damageSmoothedRate,damageRiskPercentile
fitzroy-2br,Fitzroy,Fitzroy,Yarra,10431,34561.6946,1.1045,0.4873,116,0.6059,113,-0.1186,3,0.4576,117,0.0297,-1,1128,3263.7289,2799.2465,0.9661,304,879.5865,792.3564,0.9153,1422,4114.3816,3633.5042,0.9576,724,2094.8047,1766.4624,1.0
parkville-2br,Parkville,Parkville,Melbourne,7074,26684.2837,1.2574,3.2627,85,2.5636,95,0.6992,-10,3.2754,86,-0.0127,-1,309,1157.985,1167.7799,0.6695,146,547.1385,531.8011,0.6102,793,2971.7867,2699.1151,0.8051,208,779.485,739.1873,0.7034
carlton-north-2br,Carlton North,Carlton North,Melbourne | Yarra,6177,21883.6497,1.1809,6.1907,45,5.3008,62,0.8898,-17,6.7288,35,-0.5381,10,119,543.785,747.6926,0.2288,101,461.5318,470.7348,0.4661,573,2618.3932,2415.5047,0.6949,101,461.5318,514.8895,0.4492
fitzroy-north-2br,Fitzroy North,Fitzroy North,Merri-bek | Yarra,12781,41932.422,1.0936,3.928,79,3.8432,79,0.0847,0,3.9788,79,-0.0508,0,348,829.9067,899.9998,0.4492,277,660.5867,627.9072,0.8051,1087,2592.2662,2472.7348,0.7203,304,724.976,707.0064,0.661
brunswick-east-2br,Brunswick East,Brunswick East,Merri-bek,13279,43134.4073,1.0828,5.9661,50,5.9153,47,0.0508,3,5.8729,50,0.0932,0,279,646.8154,749.781,0.2458,242,561.037,547.8323,0.6525,763,1768.8895,1807.0232,0.4237,207,479.8953,508.4569,0.4237
essendon-2br,Essendon,Essendon,Moonee Valley,21240,67421.8523,1.0581,7.7669,16,8.0212,12,-0.2542,4,7.1017,25,0.6653,-9,450,667.4394,735.4405,0.2203,178,264.0094,293.3118,0.1017,1220,1809.5023,1830.4277,0.4407,277,410.846,439.3664,0.3305
fawkner-house,Fawkner,Fawkner,Hume | Merri-bek,14274,47452.6874,1.1081,5.6525,54,5.4703,58,0.1822,-4,5.5763,54,0.0763,0,599,1262.31,1250.4057,0.6949,114,240.2393,283.8639,0.0678,633,1333.9603,1444.9299,0.2712,281,592.1688,599.0417,0.5254
thomastown-house,Thomastown,Thomastown,Whittlesea,20234,68198.142,1.1235,5.1737,63,5.0466,69,0.1271,-6,5.0847,64,0.089,-1,814,1193.5809,1193.6239,0.678,181,265.4031,294.2364,0.1102,1337,1960.464,1961.8766,0.5,517,758.0852,741.9173,0.7119
bundoora-house,Bundoora,Bundoora,Banyule | Darebin | Whittlesea,28068,90889.2158,1.0794,5.3263,58,5.3814,59,-0.0551,-1,4.9958,67,0.3305,-9,799,879.0922,910.2972,0.4661,406,446.6977,451.0764,0.4237,1893,2082.7553,2071.7289,0.5763,440,484.1058,498.7308,0.4153
viewbank-house,Viewbank,Viewbank,Banyule,7030,21939.2018,1.0403,8.8686,5,8.9915,5,-0.1229,0,9.3178,2,-0.4492,3,87,396.5504,646.2018,0.0847,62,282.5992,347.809,0.1949,104,474.0373,942.8885,0.0593,39,177.764,319.8752,0.0678
watsonia-house,Watsonia,Watsonia,Banyule,5352,16702.5047,1.0403,6.3771,42,6.4153,42,-0.0381,0,6.661,36,-0.2839,6,141,844.1848,975.1583,0.5085,41,245.4722,337.3745,0.1525,181,1083.6698,1416.1633,0.2288,103,616.674,622.2846,0.5593
eltham-house,Eltham,Eltham,Banyule | Nillumbik,18847,57812.2214,1.0225,9.1186,4,9.2754,3,-0.1568,1,8.6949,8,0.4237,-4,352,608.8678,695.1427,0.1356,110,190.2712,234.5999,0.0339,313,541.408,752.2996,0.0,205,354.5963,395.4532,0.2034
williamstown-house,Williamstown,Williamstown,Hobsons Bay,14407,45307.81,1.0483,5.2669,60,5.5805,56,-0.3136,4,5.0975,63,0.1695,-3,461,1017.4846,1049.3847,0.6017,167,368.5899,390.6997,0.2373,849,1873.8491,1891.5069,0.4746,293,646.6876,643.9698,0.6017
point-cook-house,Point Cook,Point Cook,Wyndham,66781,236223.3551,1.1791,9.6144,2,9.1186,4,0.4958,-2,8.6186,9,0.9958,-7,1380,584.1929,608.9559,0.0339,614,259.9235,269.3032,0.0593,1964,831.4165,877.7198,0.0169,576,243.837,259.5877,0.0254
werribee-house,Werribee,Werribee,Wyndham,50027,176959.7009,1.1791,4.2203,75,3.7161,83,0.5042,-8,4.2076,76,0.0127,-1,2379,1344.3739,1336.3263,0.7627,790,446.4293,448.8066,0.4068,2553,1442.7014,1470.986,0.2797,1231,695.6386,692.2163,0.6525
moonee-ponds-2br,Moonee Ponds,Moonee Ponds,Moonee Valley,16224,51499.6296,1.0581,5.5932,55,5.8517,50,-0.2585,5,5.4831,56,0.1102,-1,508,986.4149,1020.1552,0.5678,155,300.973,331.8515,0.1441,1048,2034.9661,2024.6481,0.5508,351,681.5583,673.444,0.6186
eltham-north-house,Eltham North,Eltham North,Banyule | Nillumbik,6830,20950.6803,1.0225,9.6907,1,9.6949,1,-0.0042,0,9.9492,1,-0.2585,0,58,276.8407,573.1431,0.0254,34,162.2859,268.4511,0.0508,67,319.7987,853.458,0.0085,24,114.5548,281.6273,0.0339
essendon-west-house,Essendon West,Essendon West,Moonee Valley,1559,4948.7132,1.0581,5.7288,52,5.5169,57,0.2119,-5,7.8347,17,-2.1059,35,33,666.84,1019.4302,0.5508,10,202.0727,395.2677,0.2458,42,848.7055,1599.8103,0.3305,30,606.2182,623.2347,0.5678
watsonia-north-house,Watsonia North,Watsonia North,Banyule,3799,11855.9072,1.0403,7.6017,20,7.6525,17,-0.0508,3,9.1568,3,-1.5551,17,45,379.5576,752.1614,0.2542,38,320.5153,398.4618,0.2627,81,683.2037,1272.6585,0.161,22,185.5615,389.6684,0.1949
black-rock-house,Black Rock,Black Rock,Bayside,6389,20020.1365,1.0445,7.178,26,7.4153,21,-0.2373,5,7.9831,15,-0.8051,11,101,504.4921,734.1462,0.2119,86,429.5675,449.9894,0.4153,251,1253.7377,1492.8349,0.2966,46,229.7687,363.6412,0.1441
braybrook-villa,Braybrook,Braybrook,Maribyrnong,9682,31856.0292,1.0967,1.9195,101,1.8686,99,0.0508,2,2.0636,98,-0.1441,3,572,1795.5785,1651.833,0.8814,183,574.4595,554.4898,0.6695,1074,3371.4183,3036.9605,0.8644,252,791.059,752.9753,0.7373
brighton-house,Brighton,Brighton,Bayside,23252,72860.888,1.0445,6.6017,39,6.911,34,-0.3093,5,6.3347,42,0.2669,-3,410,562.7162,638.8921,0.0763,469,643.6924,625.2497,0.7966,1136,1559.1355,1608.9027,0.339,279,382.9215,412.9398,0.2373
bulleen-house,Bulleen,Bulleen,Manningham,11219,35422.2713,1.0524,7.0593,27,7.2415,30,-0.1822,-3,7.0297,28,0.0297,-1,244,688.8322,800.0298,0.3559,140,395.2316,416.2879,0.322,347,979.6097,1197.9829,0.1017,88,248.4313,332.8006,0.0847
burwood-house,Burwood,Burwood,Monash | Whitehorse,15147,49364.5698,1.0863,6.5805,40,6.589,37,-0.0085,3,6.2203,44,0.3602,-4,332,672.5471,760.3722,0.2797,217,439.5865,448.226,0.3983,900,1823.1699,1848.158,0.4492,190,384.8914,426.459,0.3051
camberwell-2br,Camberwell,Camberwell,Boroondara,21965,69160.3662,1.0496,6.8263,35,7.1356,32,-0.3093,3,6.2839,43,0.5424,-8,452,653.5535,721.8154,0.1864,361,521.9753,518.0464,0.5932,945,1366.3895,1442.832,0.2627,221,319.5472,358.9746,0.1356
elsternwick-2br,Elsternwick,Elsternwick,Glen Eira,10887,35195.8885,1.0776,6.0763,49,6.0932,45,-0.0169,4,6.1356,46,-0.0593,3,264,750.0876,848.2889,0.4153,151,429.0274,442.7116,0.3814,521,1480.2865,1588.9743,0.322,169,480.1697,513.6874,0.4407
hawthorn-east-2br,Hawthorn East,Hawthorn East,Boroondara,14834,46707.2557,1.0496,6.3814,41,6.4661,41,-0.0847,0,6.1864,45,0.1949,-4,278,595.1966,700.7775,0.1441,297,635.8755,610.3054,0.7627,740,1584.3363,1652.6123,0.3475,153,327.5722,381.1956,0.178
st-kilda-east-2br,St Kilda East,St Kilda East,Glen Eira | Port Phillip,12571,41074.0653,1.0891,5.7924,51,5.661,54,0.1314,-3,5.8008,52,-0.0085,-1,328,798.5574,875.9665,0.4237,183,445.5366,454.4135,0.4322,665,1619.0265,1688.0408,0.3644,219,533.1832,552.4635,0.4915
st-kilda-west-2br,St Kilda West,St Kilda West,Port Phillip,2951,9743.8977,1.1006,3.9576,78,3.8686,78,0.089,0,4.1102,77,-0.1525,1,83,851.8152,1025.0848,0.5763,56,574.7187,532.2527,0.6186,253,2596.4969,2279.9503,0.661,71,728.6612,679.5293,0.6271
aberfeldie-house,Aberfeldie,Aberfeldie,Moonee Valley,3925,12459.0758,1.0581,7.3051,24,7.3051,24,0.0,0,9.0339,5,-1.7288,19,54,433.419,772.0339,0.2966,27,216.7095,338.7826,0.1695,175,1404.5986,1657.0186,0.3559,36,288.946,441.539,0.339
albion-house,Albion,Albion,Brimbank,4334,13105.7463,1.008,2.5847,95,3.0381,88,-0.4534,7,2.2881,97,0.2966,-2,171,1304.7712,1256.7942,0.7119,88,671.4612,593.3045,0.7458,414,3158.9197,2645.0176,0.7881,142,1083.4942,887.9418,0.8729
blackburn-north-house,Blackburn North,Blackburn North,Whitehorse,7627,24692.9136,1.0792,8.7754,6,8.7839,6,-0.0085,0,9.0466,4,-0.2712,2,95,384.7258,617.9697,0.0508,74,299.6811,354.7913,0.2203,269,1089.3814,1343.6492,0.1864,47,190.338,317.5449,0.0593
