id,suburb,salCodes,greenspace,localOpenSpaceAccess,majorParkAccess,natureCorridorAccess,localCoverageWithin400mPct,medianLocalDistanceM,medianMajorParkDistanceM,medianNatureDistanceM,residentialSampleCount,residentialPopulationWeight,censusPopulation2021,residentialPopulationCoveragePct,componentSpread,reviewFlags,rank
tullamarine-house,Tullamarine,22586,8.4931,10.0,5.9163,8.5908,100.0,117.60769355080824,1148.7910602649783,638.3583222130025,71,6644,6733,98.7,4.1,,101
moonee-ponds-2br,Moonee Ponds,21742,8.4787,8.0141,9.4632,8.1636,76.1,240.6575036517193,359.242125825878,721.0768329817454,160,14049,16224,86.6,1.4,,102
mentone-2br,Mentone,21648,8.4536,10.0,7.281,6.3464,96.9,168.75859272174247,986.4858252233278,1169.0111051271156,171,12989,13197,98.4,3.7,,103
brighton-house,Brighton,20337,8.4195,8.6738,8.6052,7.505,82.4,249.30023703774344,610.636051013102,844.2197663514557,268,23052,23252,99.1,1.2,,104
bentleigh-house,Bentleigh,20214,8.3052,8.5645,9.2171,6.2891,81.4,263.8838995993526,491.2792134616292,1066.7493594926368,182,17771,17921,99.2,2.9,,105
inner-windsor-prahran-2br,Windsor / Prahran,22805|22118,8.2908,10.0,8.1763,4.1897,97.9,148.6756563088777,722.9273880054412,1644.1422520113251,246,17976,19476,92.3,5.8,highComponentSpread,106
malvern-2br,Malvern,21586,8.0047,9.1489,7.8208,5.4202,86.9,230.06957977050706,822.4274096755549,1268.6667946275136,121,9751,9751,100.0,3.7,,107
gardenvale-house,Gardenvale,20965,7.989,10.0,8.0748,2.8329,100.0,171.93390129998508,802.5817989722716,1841.857508190304,14,949,1019,93.1,7.2,highComponentSpread,108
inner-se-apartment-corridor,Carnegie / Oakleigh,20498|21849|22000,7.9774,8.332,8.5293,6.263,79.2,242.36484852501718,528.8300684094942,1106.2166088514862,400,36079,36373,99.2,2.3,,109
toorak-2br,Toorak,22547,7.5852,7.3195,7.9427,7.7133,69.5,289.63429209721073,763.831983385129,824.1553086757139,185,12772,12772,100.0,0.6,,110
st-kilda-east-2br,St Kilda East,22344,7.5156,9.5493,7.8704,1.8991,90.7,261.90694674031505,866.0761361214077,2045.6331316314092,165,12541,12571,99.8,7.7,highComponentSpread,111
elsternwick-2br,Elsternwick,20864,7.4873,8.7015,7.3859,4.6041,82.7,264.1587613767203,935.8606333508416,1494.62951152339,128,10631,10887,97.6,4.1,,112
armadale-2br,Armadale,20066,6.4139,9.2267,5.0282,1.4607,87.7,203.31028834293016,1441.0031822678343,2183.4890819372804,122,9031,9368,96.4,7.8,highComponentSpread,113
donnybrook-house-land,Donnybrook,20773,3.9739,2.7858,5.1589,5.1666,26.5,1366.7565414072792,1368.7655466109084,1366.7565414072792,21,2082,2100,99.1,2.4,,114
